index,Date,country,misogyny,total
1,01/11/2019,IN,18,45332
2,02/11/2019,IN,17,45963
3,03/11/2019,IN,16,48694
4,04/11/2019,IN,18,34630
5,05/11/2019,IN,16,35476
6,06/11/2019,IN,20,43180
7,07/11/2019,IN,9,33204
8,08/11/2019,IN,11,35734
9,09/11/2019,IN,10,39693
10,10/11/2019,IN,20,66106
11,11/11/2019,IN,8,36520
12,12/11/2019,IN,17,46233
13,13/11/2019,IN,13,34479
14,14/11/2019,IN,7,36760
15,15/11/2019,IN,17,30033
16,16/11/2019,IN,8,32781
17,17/11/2019,IN,11,33401
18,18/11/2019,IN,12,34494
19,19/11/2019,IN,33,23189
20,20/11/2019,IN,18,35692
21,21/11/2019,IN,13,33099
22,22/11/2019,IN,13,34572
23,23/11/2019,IN,13,39861
24,24/11/2019,IN,20,33685
25,25/11/2019,IN,22,25460
26,26/11/2019,IN,8,40921
27,27/11/2019,IN,14,37229
28,28/11/2019,IN,12,35738
29,29/11/2019,IN,14,36939
30,30/11/2019,IN,18,37480
31,01/12/2019,IN,12,37960
32,02/12/2019,IN,21,34402
33,03/12/2019,IN,10,30041
34,04/12/2019,IN,14,37583
35,05/12/2019,IN,18,37184
36,06/12/2019,IN,16,43494
37,07/12/2019,IN,15,34908
38,08/12/2019,IN,21,35023
39,09/12/2019,IN,13,35712
40,10/12/2019,IN,16,37047
41,11/12/2019,IN,11,36803
42,12/12/2019,IN,16,34251
43,13/12/2019,IN,12,38726
44,14/12/2019,IN,9,39737
45,15/12/2019,IN,9,42318
46,16/12/2019,IN,23,46500
47,17/12/2019,IN,23,39598
48,18/12/2019,IN,18,36327
49,19/12/2019,IN,13,46772
50,20/12/2019,IN,10,41158
51,21/12/2019,IN,11,39090
52,22/12/2019,IN,8,43371
53,23/12/2019,IN,8,31598
54,24/12/2019,IN,15,37806
55,25/12/2019,IN,16,38098
56,26/12/2019,IN,20,38479
57,27/12/2019,IN,13,37757
58,28/12/2019,IN,12,40945
59,29/12/2019,IN,11,35624
60,30/12/2019,IN,8,40081
61,31/12/2019,IN,11,44751
62,01/01/2020,IN,15,48839
63,02/01/2020,IN,11,35061
64,03/01/2020,IN,12,34656
65,04/01/2020,IN,4,41874
66,05/01/2020,IN,11,44696
67,06/01/2020,IN,6,42936
68,07/01/2020,IN,42,41853
69,08/01/2020,IN,13,43747
70,09/01/2020,IN,17,40721
71,10/01/2020,IN,30,40239
72,11/01/2020,IN,12,43677
73,12/01/2020,IN,11,38894
74,13/01/2020,IN,18,37626
75,14/01/2020,IN,9,38198
76,15/01/2020,IN,9,38134
77,16/01/2020,IN,19,37685
78,17/01/2020,IN,19,37843
79,18/01/2020,IN,11,42434
80,19/01/2020,IN,8,37790
81,20/01/2020,IN,17,36733
82,21/01/2020,IN,23,37284
83,22/01/2020,IN,14,37532
84,23/01/2020,IN,19,39176
85,24/01/2020,IN,25,36975
86,25/01/2020,IN,18,36939
87,26/01/2020,IN,11,51714
88,27/01/2020,IN,13,36718
89,28/01/2020,IN,24,38551
90,29/01/2020,IN,12,40034
91,30/01/2020,IN,11,40632
92,31/01/2020,IN,13,38045
93,01/02/2020,IN,17,47418
94,02/02/2020,IN,15,44975
95,03/02/2020,IN,14,33647
96,04/02/2020,IN,12,38624
97,05/02/2020,IN,7,35694
98,06/02/2020,IN,15,34651
99,07/02/2020,IN,18,33998
100,08/02/2020,IN,19,37587
101,09/02/2020,IN,7,34737
102,10/02/2020,IN,16,34682
103,11/02/2020,IN,22,41718
104,12/02/2020,IN,17,43329
105,13/02/2020,IN,23,35911
106,14/02/2020,IN,12,38892
107,15/02/2020,IN,9,38076
108,16/02/2020,IN,13,36028
109,17/02/2020,IN,14,37953
110,18/02/2020,IN,16,35615
111,19/02/2020,IN,22,34358
112,20/02/2020,IN,20,35273
113,21/02/2020,IN,14,36221
114,22/02/2020,IN,16,36849
115,23/02/2020,IN,19,34304
116,24/02/2020,IN,12,43712
117,25/02/2020,IN,7,42001
118,26/02/2020,IN,10,38567
119,27/02/2020,IN,10,37491
120,28/02/2020,IN,12,37026
121,29/02/2020,IN,8,33842
122,01/03/2020,IN,17,36452
123,02/03/2020,IN,14,36995
124,03/03/2020,IN,14,34356
125,04/03/2020,IN,17,32691
126,05/03/2020,IN,14,34875
127,06/03/2020,IN,17,34223
128,07/03/2020,IN,18,36510
129,08/03/2020,IN,57,39956
130,09/03/2020,IN,28,37691
131,10/03/2020,IN,15,44437
132,11/03/2020,IN,9,34640
133,12/03/2020,IN,80,34907
134,13/03/2020,IN,48,34933
135,14/03/2020,IN,35,36665
136,15/03/2020,IN,46,36414
137,16/03/2020,IN,13,33994
138,17/03/2020,IN,25,37145
139,18/03/2020,IN,12,34575
140,19/03/2020,IN,11,39084
141,20/03/2020,IN,18,42927
142,21/03/2020,IN,4,48057
143,22/03/2020,IN,22,75669
144,23/03/2020,IN,19,51215
145,24/03/2020,IN,12,65692
146,25/03/2020,IN,13,59159
147,26/03/2020,IN,14,60799
148,27/03/2020,IN,6,60701
149,28/03/2020,IN,14,66032
150,29/03/2020,IN,14,60904
151,30/03/2020,IN,12,55427
152,31/03/2020,IN,13,53330
153,01/04/2020,IN,17,53344
154,02/04/2020,IN,16,51864
155,03/04/2020,IN,25,58205
156,04/04/2020,IN,21,55996
157,05/04/2020,IN,18,69729
158,06/04/2020,IN,23,55756
159,07/04/2020,IN,26,54992
160,08/04/2020,IN,11,55988
161,09/04/2020,IN,12,50083
162,10/04/2020,IN,16,56118
163,11/04/2020,IN,19,60062
164,12/04/2020,IN,21,61538
165,13/04/2020,IN,18,57260
166,14/04/2020,IN,11,59961
167,15/04/2020,IN,28,54736
168,16/04/2020,IN,17,56606
169,17/04/2020,IN,17,56824
170,18/04/2020,IN,16,59968
171,19/04/2020,IN,33,63086
172,20/04/2020,IN,27,62548
173,21/04/2020,IN,16,58285
174,22/04/2020,IN,20,64638
175,23/04/2020,IN,20,61092
176,24/04/2020,IN,19,59517
177,25/04/2020,IN,11,60008
178,26/04/2020,IN,5,10352
179,27/04/2020,IN,20,63989
180,28/04/2020,IN,23,51393
181,30/04/2020,IN,1,9352
182,01/05/2020,IN,11,45023
183,02/05/2020,IN,20,61597
184,03/05/2020,IN,24,61214
185,04/05/2020,IN,45,63668
186,05/05/2020,IN,64,57276
187,06/05/2020,IN,40,56888
188,07/05/2020,IN,17,61050
189,08/05/2020,IN,22,60202
190,09/05/2020,IN,20,60170
191,10/05/2020,IN,31,68540
192,11/05/2020,IN,167,59571
193,12/05/2020,IN,30,65672
194,13/05/2020,IN,31,54843
195,14/05/2020,IN,13,55579
196,15/05/2020,IN,23,57469
